image_id,breed,species,split,mean_r,mean_g,mean_b,std_r,std_g,std_b,brightness,contrast,color_variance,dominant_color
american_pit_bull_terrier_158,american_pit_bull_terrier,dog,train,125.75322807017544,111.22447368421052,87.1549649122807,57.89954926740783,40.94938528750826,38.993362501960526,108.04422222222222,49.3618484204429,137.84229705687662,red
american_pit_bull_terrier_12,american_pit_bull_terrier,dog,train,119.28207602339181,120.5412105263158,88.10961988304093,60.13145624054311,54.36206148218647,52.70814745409639,109.31096881091618,57.80488177375826,167.20166517682597,green
Maine_Coon_144,Maine_Coon,cat,train,126.92594503171247,90.76177589852009,69.4225665961945,57.8778680950419,34.724612303013735,31.892194924327377,95.70342917547569,49.202667892865726,124.49467532238302,red
keeshond_128,keeshond,dog,train,101.40691291291292,137.65314714714714,131.2316816816817,47.41059423700064,53.83586689159134,51.299599766578474,123.43058058058058,53.31008179119449,152.54606089517046,green
havanese_119,havanese,dog,train,135.04695765472312,130.81325081433224,114.6757980456026,66.11667199845377,64.1902617071438,67.79571052364099,126.845335504886,66.63125137489382,198.10264422923856,red
scottish_terrier_147,scottish_terrier,dog,train,138.02621866666667,95.18948266666666,83.59094933333333,57.656056847898185,44.59424656820418,41.56288280287239,105.60221688888889,53.80389629568211,143.81318621897475,red
leonberger_123,leonberger,dog,train,106.14610918114144,100.06671960297767,66.25965756823821,49.565114372682736,48.820515915962865,43.31862478063256,90.82416211745245,50.46532936715895,141.70425506927816,red
Maine_Coon_102,Maine_Coon,cat,train,134.95313125,117.7502125,107.2451375,77.72116272014298,84.68413580007545,89.47756392027524,119.98282708333333,84.87158878078262,251.88286244049368,red
Maine_Coon_161,Maine_Coon,cat,train,196.8362042042042,185.5042102102102,178.20024024024025,68.71539401868354,79.34457207275995,86.01293212323036,186.84688488488487,78.72302654315239,234.07289821467384,red
Russian_Blue_108,Russian_Blue,cat,train,127.9846049822064,125.11342348754448,126.82306049822064,61.27809729286024,63.24847855107546,63.64137574446042,126.64036298932385,62.74225546542302,188.1679515883961,red
Siamese_115,Siamese,cat,train,157.25407164179106,138.02442985074626,116.92353432835822,63.3865729212857,55.89537134245426,55.32809648328405,137.4006786069652,60.60035242773232,174.61004074702402,red
saint_bernard_100,saint_bernard,dog,train,177.120576,163.19501866666667,156.66786133333332,58.24114009954684,64.01476716914149,67.08886682532302,165.661152,63.79424309649829,189.34477409401137,red
Siamese_101,Siamese,cat,train,114.423296,125.866656,124.83321066666667,65.09184394757644,72.95985358659689,82.63027406457435,121.70772088888889,74.0899877388533,220.68197159874768,green
Egyptian_Mau_138,Egyptian_Mau,cat,train,137.93247103528913,126.50298283375851,122.4312287414966,65.90679832236329,63.44689790085288,65.434145561771,128.95556087018142,65.2686992072201,194.78784178498717,red
american_pit_bull_terrier_117,american_pit_bull_terrier,dog,train,75.73515912897822,73.59241206030151,55.862713567839194,62.89787814698212,60.07299623871419,53.40619585264374,68.39676158570632,59.59608189026092,176.37707023834005,red
basset_hound_142,basset_hound,dog,train,110.04888288288288,118.08437237237237,123.39587987987989,51.60571814245262,48.980725064540984,51.21799350522395,117.17637837837837,50.91120464628103,151.80443671221755,blue
chihuahua_122,chihuahua,dog,train,90.9769925925926,90.36444444444444,90.2881037037037,52.10758319299341,51.84080627325928,51.80959073909192,90.54318024691358,51.92041447417365,155.7579802053446,red
keeshond_16,keeshond,dog,train,95.48409066666666,95.58794666666667,84.47951466666666,53.098399500924764,51.980219045809484,56.450344637426845,91.85051733333333,54.12801962261044,161.52896318416109,green
basset_hound_129,basset_hound,dog,train,128.97535735735735,89.90299099099099,64.77866066066066,51.88462286108227,53.978371550630094,60.433906914852216,94.55233633633634,61.511430756898775,166.29690132656458,red
shiba_inu_146,shiba_inu,dog,train,121.13791466666666,108.328112,106.18648533333334,61.79257028325835,60.60009026271101,60.90517225343558,111.88417066666666,61.45695956981226,183.29783279940494,red
