image_id,breed,species,split,sharpness,brightness,contrast,file_size_kb,area,aspect_ratio,quality_score,size_category,orientation
american_pit_bull_terrier_158,american_pit_bull_terrier,dog,train,423.39320077972707,108.04422222222222,49.3618484204429,8.9306640625,57000,0.6333333333333333,1.3407145172281647,small,portrait
american_pit_bull_terrier_12,american_pit_bull_terrier,dog,train,7638.852323586745,109.31096881091618,57.80488177375826,201.81640625,171000,0.684,8.64557160724949,medium,portrait
Maine_Coon_144,Maine_Coon,cat,train,1263.2210251350716,95.70342917547569,49.202667892865726,210.6142578125,236500,0.946,2.1305552694577514,medium,square
keeshond_128,keeshond,dog,train,1396.1571518184849,123.43058058058058,53.31008179119449,124.8427734375,166500,1.5015015015015014,2.4132994622032946,medium,landscape
havanese_119,havanese,dog,train,2391.884859934853,126.845335504886,66.63125137489382,154.6708984375,153500,1.6286644951140066,3.5556300619382464,medium,landscape
scottish_terrier_147,scottish_terrier,dog,train,4217.007666962963,105.60221688888889,53.80389629568211,122.7861328125,187500,1.3333333333333333,5.169172970660526,medium,landscape
leonberger_123,leonberger,dog,train,1802.5841411634963,90.82416211745245,50.46532936715895,143.625,201500,1.2406947890818858,2.6634106196094094,medium,landscape
Maine_Coon_102,Maine_Coon,cat,train,288.38981944444447,119.98282708333333,84.87158878078262,77.640625,160000,0.64,1.6076265977751465,medium,portrait
Maine_Coon_161,Maine_Coon,cat,train,1988.2989616282948,186.84688488488487,78.72302654315239,84.669921875,166500,1.5015015015015014,3.508262108961328,medium,landscape
Russian_Blue_108,Russian_Blue,cat,train,1250.2275096876238,126.64036298932385,62.74225546542302,81.021484375,140500,0.562,2.3742789388097907,medium,portrait
Siamese_115,Siamese,cat,train,877.6967973466005,137.4006786069652,60.60035242773232,85.84765625,167500,1.492537313432836,2.0225265122394736,medium,landscape
saint_bernard_100,saint_bernard,dog,train,3647.800283259259,165.661152,63.79424309649829,142.8037109375,187500,1.3333333333333333,4.93539429069483,medium,landscape
Siamese_101,Siamese,cat,train,536.5756728888888,121.70772088888889,74.0899877388533,105.724609375,187500,0.75,1.7547607302338488,medium,portrait
Egyptian_Mau_138,Egyptian_Mau,cat,train,1863.2098790036846,128.95556087018142,65.2686992072201,40.865234375,150528,1.3333333333333333,3.021604952919734,medium,landscape
american_pit_bull_terrier_117,american_pit_bull_terrier,dog,train,321.46245300576965,68.39676158570632,59.59608189026092,9.2587890625,59700,1.5075376884422111,1.185645866362129,small,landscape
basset_hound_142,basset_hound,dog,train,151.56480880880883,117.17637837837837,50.91120464628103,75.2021484375,166500,1.5015015015015014,1.1201920645985932,medium,landscape
chihuahua_122,chihuahua,dog,train,169.98414156378598,90.54318024691358,51.92041447417365,7.3427734375,67500,1.3333333333333333,1.0442595813914581,small,landscape
keeshond_16,keeshond,dog,train,6410.507154962962,91.85051733333333,54.12801962261044,194.0712890625,187500,1.3333333333333333,7.311985458378609,medium,landscape
basset_hound_129,basset_hound,dog,train,540.7338084751418,94.55233633633634,61.511430756898775,137.2548828125,166500,0.666,1.5266415918728997,medium,portrait
shiba_inu_146,shiba_inu,dog,train,3802.0705931851844,111.88417066666666,61.45695956981226,175.9931640625,187500,1.3333333333333333,4.855401642478078,medium,landscape
havanese_161,havanese,dog,train,645.5289476142808,111.32963763763763,45.09929269834191,81.337890625,166500,0.666,1.5331086888629455,medium,portrait
beagle_117,beagle,dog,train,146.42033199464524,97.18038152610441,43.7949433715204,70.2373046875,166000,1.5060240963855422,0.9654693011063371,medium,landscape
chihuahua_168,chihuahua,dog,train,248.48420848267622,137.79304211469534,83.86701574886334,10.482421875,74400,0.8266666666666667,1.6275192370093305,small,square
Persian_128,Persian,cat,train,476.81736526946105,116.82432135728543,52.11827912786475,79.3369140625,167000,1.4970059880239521,1.4561347501060906,medium,landscape
British_Shorthair_122,British_Shorthair,cat,train,491.8794065510597,109.17282080924855,60.55161468104993,78.125,173000,1.4450867052023122,1.5255242624174357,medium,landscape
